taskname,start,end,duration,acclname
conv2d_1,0,19676.0,19676.0,Conv2DNS1024
batch_normalization_1,1100848.0,1101542.0,694.0,BatchNormalizationNS1024
conv2d_2,2182201.0,2383974.0,201773.0,Conv2DNS1024
batch_normalization_2,3438503.0,3439179.0,676.0,BatchNormalizationNS1024
conv2d_3,4494271.0,4896869.0,402598.0,Conv2DNS1024
batch_normalization_3,7004785.0,7006136.0,1351.0,BatchNormalizationNS1024
conv2d_4,8321431.0,8351817.0,30386.0,Conv2DNS1024
batch_normalization_4,9000776.0,9001193.0,417.0,BatchNormalizationNS1024
conv2d_5,9651424.0,10431635.0,780211.0,Conv2DNS1024
batch_normalization_5,11905937.0,11906883.0,946.0,BatchNormalizationNS1024
conv2d_9,12825098.0,12848431.0,23333.0,Conv2DNS1024
conv2d_7,12824933.0,12854321.0,29388.0,Conv2DNS512
conv2d_6,12848431.0,12871917.0,23486.0,Conv2DNS1024
conv2d_12,12824443.0,12858447.0,34004.0,Conv2DNS256
batch_normalization_9,12968439.0,12968516.0,77.0,BatchNormalizationNS1024
batch_normalization_7,12943225.0,12943283.0,58.0,BatchNormalizationNS1024
batch_normalization_6,12990806.0,12990883.0,77.0,BatchNormalizationNS1024
batch_normalization_12,12918143.0,12918182.0,39.0,BatchNormalizationNS1024
conv2d_10,13087179.0,13193959.0,106780.0,Conv2DNS1024
conv2d_8,13033052.0,13272498.0,239446.0,Conv2DNS512
batch_normalization_10,13373047.0,13373162.0,115.0,BatchNormalizationNS1024
batch_normalization_8,13391064.0,13391141.0,77.0,BatchNormalizationNS1024
conv2d_11,13552556.0,13712208.0,159652.0,Conv2DNS1024
batch_normalization_11,13890685.0,13890800.0,115.0,BatchNormalizationNS1024
conv2d_16,13979685.0,14011921.0,32236.0,Conv2DNS1024
conv2d_14,13979685.0,14018451.0,38766.0,Conv2DNS512
conv2d_13,14011921.0,14043013.0,31092.0,Conv2DNS1024
conv2d_19,14018451.0,14069407.0,50956.0,Conv2DNS512
