taskname,start,end,duration,acclname
conv2d_1,0,723378.0,723378.0,Conv2D512
batch_normalization_1,723378.0,1664644.0,941266.0,BatchNormalization8
conv2d_2,1664644.0,2652978.0,988334.0,Conv2D1024
batch_normalization_2,2652978.0,3599042.0,946064.0,BatchNormalization8
conv2d_3,3599042.0,5051379.0,1452337.0,Conv2D512
batch_normalization_3,5051379.0,6732828.0,1681449.0,BatchNormalization8
conv2d_4,6732828.0,7250583.0,517755.0,Conv2D512
batch_normalization_4,7250583.0,7814053.0,563470.0,BatchNormalization8
conv2d_5,7814053.0,8882701.0,1068648.0,Conv2D1024
batch_normalization_5,8882701.0,10151270.0,1268569.0,BatchNormalization1024
conv2d_9,10151270.0,10381074.0,229804.0,Conv2D256
conv2d_7,10151270.0,10370499.0,219229.0,Conv2D1024
conv2d_6,10151270.0,10386123.0,234853.0,Conv2D512
conv2d_12,10151270.0,10358531.0,207261.0,Conv2D128
batch_normalization_9,10381074.0,10499059.0,117985.0,BatchNormalization512
batch_normalization_7,10370499.0,10457027.0,86528.0,BatchNormalization8
batch_normalization_6,10386123.0,10503915.0,117792.0,BatchNormalization1024
batch_normalization_12,10358531.0,10424341.0,65810.0,BatchNormalization256
conv2d_10,10499059.0,10687744.0,188685.0,Conv2D1024
conv2d_8,10457027.0,10704603.0,247576.0,Conv2D512
batch_normalization_10,10687744.0,10848994.0,161250.0,BatchNormalization8
batch_normalization_8,10704603.0,10822841.0,118238.0,BatchNormalization512
conv2d_11,10848994.0,11084107.0,235113.0,Conv2D1024
batch_normalization_11,11084107.0,11249550.0,165443.0,BatchNormalization8
conv2d_16,11249550.0,11545175.0,295625.0,Conv2D256
conv2d_14,11249550.0,11529065.0,279515.0,Conv2D512
conv2d_13,11249550.0,11544683.0,295133.0,Conv2D1024
conv2d_19,11249550.0,11544603.0,295053.0,Conv2D128
batch_normalization_16,11545175.0,11662536.0,117361.0,BatchNormalization512
batch_normalization_14,11529065.0,11617228.0,88163.0,BatchNormalization1024
batch_normalization_13,11544683.0,11662412.0,117729.0,BatchNormalization8
batch_normalization_19,11544603.0,11663514.0,118911.0,BatchNormalization256
conv2d_17,11662536.0,11851878.0,189342.0,Conv2D1024
conv2d_15,11617228.0,11865593.0,248365.0,Conv2D512
batch_normalization_17,11851878.0,12014185.0,162307.0,BatchNormalization8
batch_normalization_15,11865593.0,11982425.0,116832.0,BatchNormalization512
conv2d_18,12014185.0,12250147.0,235962.0,Conv2D1024
batch_normalization_18,12250147.0,12413966.0,163819.0,BatchNormalization1024
conv2d_23,12413966.0,12731705.0,317739.0,Conv2D1024
conv2d_21,12413966.0,12721944.0,307978.0,Conv2D512
conv2d_20,12413966.0,12736907.0,322941.0,Conv2D128
conv2d_26,12413966.0,12734446.0,320480.0,Conv2D256
batch_normalization_23,12731705.0,12849175.0,117470.0,BatchNormalization512
batch_normalization_21,12721944.0,12809811.0,87867.0,BatchNormalization256
batch_normalization_20,12736907.0,12853392.0,116485.0,BatchNormalization8
batch_normalization_26,12734446.0,12851631.0,117185.0,BatchNormalization128
conv2d_24,12849175.0,13038258.0,189083.0,Conv2D1024
conv2d_22,12809811.0,13058485.0,248674.0,Conv2D512
batch_normalization_24,13038258.0,13200729.0,162471.0,BatchNormalization8
batch_normalization_22,13058485.0,13176514.0,118029.0,BatchNormalization1024
conv2d_25,13200729.0,13436692.0,235963.0,Conv2D1024
batch_normalization_25,13436692.0,13601749.0,165057.0,BatchNormalization1024
conv2d_28,13601749.0,13920943.0,319194.0,Conv2D1024
conv2d_27,13601749.0,14912248.0,1310499.0,Conv2D512
batch_normalization_28,13920943.0,14037751.0,116808.0,BatchNormalization1024
batch_normalization_27,14912248.0,15065730.0,153482.0,BatchNormalization1024
conv2d_29,14037751.0,14226286.0,188535.0,Conv2D1024
batch_normalization_29,14226286.0,14391293.0,165007.0,BatchNormalization1024
conv2d_30,14391293.0,14557192.0,165899.0,Conv2D1024
batch_normalization_30,14557192.0,14599972.0,42780.0,BatchNormalization1024
conv2d_35,15065730.0,15327354.0,261624.0,Conv2D1024
conv2d_32,15065730.0,15327816.0,262086.0,Conv2D512
conv2d_31,15065730.0,15378104.0,312374.0,Conv2D256
conv2d_40,15065730.0,15517728.0,451998.0,Conv2D128
batch_normalization_35,15327354.0,15384170.0,56816.0,BatchNormalization512
