taskname,start,end,duration,acclname
conv2d_1,0,723970.0,723970.0,Conv2D1024
batch_normalization_1,723970.0,1665484.0,941514.0,BatchNormalization1024
conv2d_2,1665484.0,2653818.0,988334.0,Conv2D1024
batch_normalization_2,2653818.0,3601727.0,947909.0,BatchNormalization1024
conv2d_3,3601727.0,5054723.0,1452996.0,Conv2D1024
batch_normalization_3,5054723.0,6739385.0,1684662.0,BatchNormalization1024
conv2d_4,6739385.0,7257153.0,517768.0,Conv2D1024
batch_normalization_4,7257153.0,7821942.0,564789.0,BatchNormalization1024
conv2d_5,7821942.0,8890590.0,1068648.0,Conv2D1024
batch_normalization_5,8890590.0,10159159.0,1268569.0,BatchNormalization1024
conv2d_9,10159159.0,10389595.0,230436.0,Conv2D1024
conv2d_7,10159159.0,10378543.0,219384.0,Conv2D512
conv2d_6,10389595.0,10624681.0,235086.0,Conv2D1024
conv2d_12,10159159.0,10365687.0,206528.0,Conv2D256
batch_normalization_9,10520458.0,10638684.0,118226.0,BatchNormalization1024
batch_normalization_7,10433404.0,10520458.0,87054.0,BatchNormalization1024
batch_normalization_6,10638684.0,10756476.0,117792.0,BatchNormalization1024
batch_normalization_12,10365687.0,10433404.0,67717.0,BatchNormalization1024
conv2d_10,10638684.0,10827369.0,188685.0,Conv2D1024
conv2d_8,10520458.0,10768034.0,247576.0,Conv2D512
batch_normalization_10,10827369.0,10989156.0,161787.0,BatchNormalization1024
batch_normalization_8,10989156.0,11107761.0,118605.0,BatchNormalization1024
conv2d_11,10989156.0,11224269.0,235113.0,Conv2D1024
batch_normalization_11,11224269.0,11389788.0,165519.0,BatchNormalization1024
conv2d_16,11389788.0,11685963.0,296175.0,Conv2D1024
conv2d_14,11389788.0,11669303.0,279515.0,Conv2D512
conv2d_13,11685963.0,11981096.0,295133.0,Conv2D1024
conv2d_19,11669303.0,11963191.0,293888.0,Conv2D512
batch_normalization_16,11757466.0,11876451.0,118985.0,BatchNormalization1024
batch_normalization_14,11669303.0,11757466.0,88163.0,BatchNormalization1024
batch_normalization_13,11981096.0,12098633.0,117537.0,BatchNormalization1024
batch_normalization_19,12098633.0,12215846.0,117213.0,BatchNormalization1024
conv2d_17,11981096.0,12170438.0,189342.0,Conv2D1024
conv2d_15,11963191.0,12211556.0,248365.0,Conv2D512
batch_normalization_17,12215846.0,12378274.0,162428.0,BatchNormalization1024
batch_normalization_15,12378274.0,12495835.0,117561.0,BatchNormalization1024
conv2d_18,12378274.0,12614236.0,235962.0,Conv2D1024
batch_normalization_18,12614236.0,12778055.0,163819.0,BatchNormalization1024
conv2d_23,12778055.0,13095794.0,317739.0,Conv2D1024
conv2d_21,12778055.0,13086033.0,307978.0,Conv2D512
conv2d_20,13095794.0,13415991.0,320197.0,Conv2D1024
conv2d_26,13086033.0,13405052.0,319019.0,Conv2D512
batch_normalization_23,13174906.0,13292409.0,117503.0,BatchNormalization1024
batch_normalization_21,13086033.0,13174906.0,88873.0,BatchNormalization1024
batch_normalization_20,13415991.0,13534843.0,118852.0,BatchNormalization1024
batch_normalization_26,13534843.0,13653284.0,118441.0,BatchNormalization1024
conv2d_24,13415991.0,13605074.0,189083.0,Conv2D1024
conv2d_22,13405052.0,13653726.0,248674.0,Conv2D512
batch_normalization_24,13653284.0,13817202.0,163918.0,BatchNormalization1024
batch_normalization_22,13817202.0,13935231.0,118029.0,BatchNormalization1024
conv2d_25,13817202.0,14053165.0,235963.0,Conv2D1024
batch_normalization_25,14053165.0,14218222.0,165057.0,BatchNormalization1024
conv2d_28,14218222.0,14537416.0,319194.0,Conv2D1024
conv2d_27,14218222.0,15528721.0,1310499.0,Conv2D512
batch_normalization_28,14537416.0,14654224.0,116808.0,BatchNormalization1024
batch_normalization_27,15528721.0,15682203.0,153482.0,BatchNormalization1024
conv2d_29,14654224.0,14842759.0,188535.0,Conv2D1024
batch_normalization_29,14842759.0,15007766.0,165007.0,BatchNormalization1024
conv2d_30,15007766.0,15173665.0,165899.0,Conv2D1024
batch_normalization_30,15173665.0,15216445.0,42780.0,BatchNormalization1024
conv2d_35,15682203.0,15943827.0,261624.0,Conv2D1024
conv2d_32,15682203.0,15944289.0,262086.0,Conv2D512
conv2d_31,15682203.0,15994577.0,312374.0,Conv2D256
conv2d_40,15682203.0,16134201.0,451998.0,Conv2D128
batch_normalization_35,15943827.0,16001254.0,57427.0,BatchNormalization1024
batch_normalization_32,16001254.0,16058548.0,57294.0,BatchNormalization1024
batch_normalization_31,16058548.0,16140200.0,81652.0,BatchNormalization1024
batch_normalization_40,16265337.0,16346612.0,81275.0,BatchNormalization1024
conv2d_36,16001254.0,16148956.0,147702.0,Conv2D1024
conv2d_33,16058548.0,16210142.0,151594.0,Conv2D512
batch_normalization_36,16148956.0,16205187.0,56231.0,BatchNormalization1024
batch_normalization_33,16210142.0,16265337.0,55195.0,BatchNormalization1024
conv2d_37,16205187.0,16345142.0,139955.0,Conv2D1024
conv2d_34,16265337.0,16501412.0,236075.0,Conv2D512
batch_normalization_37,16346612.0,16403203.0,56591.0,BatchNormalization1024
batch_normalization_34,16501412.0,16581968.0,80556.0,BatchNormalization1024
conv2d_38,16403203.0,16550233.0,147030.0,Conv2D1024
batch_normalization_38,16581968.0,16638456.0,56488.0,BatchNormalization1024
conv2d_39,16638456.0,16831983.0,193527.0,Conv2D1024
batch_normalization_39,16831983.0,16912131.0,80148.0,BatchNormalization1024
conv2d_45,16912131.0,17196210.0,284079.0,Conv2D1024
conv2d_42,16912131.0,17196751.0,284620.0,Conv2D512
conv2d_41,16912131.0,17225372.0,313241.0,Conv2D256
conv2d_50,16912131.0,17363377.0,451246.0,Conv2D128
batch_normalization_45,17196210.0,17264637.0,68427.0,BatchNormalization1024
batch_normalization_42,17264637.0,17332620.0,67983.0,BatchNormalization1024
batch_normalization_41,17332620.0,17413571.0,80951.0,BatchNormalization1024
batch_normalization_50,17544810.0,17626099.0,81289.0,BatchNormalization1024
conv2d_46,17264637.0,17476125.0,211488.0,Conv2D1024
conv2d_43,17332620.0,17568779.0,236159.0,Conv2D512
batch_normalization_46,17476125.0,17544810.0,68685.0,BatchNormalization1024
batch_normalization_43,17626099.0,17695305.0,69206.0,BatchNormalization1024
conv2d_47,17544810.0,17744836.0,200026.0,Conv2D1024
conv2d_44,17695305.0,17990027.0,294722.0,Conv2D512
batch_normalization_47,17744836.0,17813708.0,68872.0,BatchNormalization1024
batch_normalization_44,17990027.0,18071824.0,81797.0,BatchNormalization1024
conv2d_48,17813708.0,18025224.0,211516.0,Conv2D1024
batch_normalization_48,18071824.0,18141147.0,69323.0,BatchNormalization1024
conv2d_49,18141147.0,18372047.0,230900.0,Conv2D1024
batch_normalization_49,18372047.0,18452863.0,80816.0,BatchNormalization1024
conv2d_55,18452863.0,18736814.0,283951.0,Conv2D1024
conv2d_52,18452863.0,18737305.0,284442.0,Conv2D512
conv2d_51,18452863.0,18766577.0,313714.0,Conv2D256
conv2d_60,18452863.0,18904979.0,452116.0,Conv2D128
batch_normalization_55,18736814.0,18805370.0,68556.0,BatchNormalization1024
batch_normalization_52,18805370.0,18874527.0,69157.0,BatchNormalization1024
batch_normalization_51,18874527.0,18955266.0,80739.0,BatchNormalization1024
batch_normalization_60,19086015.0,19165868.0,79853.0,BatchNormalization1024
conv2d_56,18805370.0,19017907.0,212537.0,Conv2D1024
conv2d_53,18874527.0,19109749.0,235222.0,Conv2D512
