taskname,start,end,duration,acclname
conv2d_1,0,19676.0,19676.0,Conv2DNS1024
batch_normalization_1,1100848.0,1189652.0,88804.0,BatchNormalizationNS8
conv2d_2,2270311.0,2472084.0,201773.0,Conv2DNS1024
batch_normalization_2,3526613.0,3613049.0,86436.0,BatchNormalizationNS8
conv2d_3,4668141.0,5070739.0,402598.0,Conv2DNS1024
batch_normalization_3,7178655.0,7351527.0,172872.0,BatchNormalizationNS8
conv2d_4,8666822.0,8697208.0,30386.0,Conv2DNS1024
batch_normalization_4,9346167.0,9399457.0,53290.0,BatchNormalizationNS8
conv2d_5,10049688.0,10829899.0,780211.0,Conv2DNS1024
batch_normalization_5,12304201.0,12425185.0,120984.0,BatchNormalizationNS8
conv2d_9,13343400.0,13366733.0,23333.0,Conv2DNS1024
conv2d_7,13366733.0,13385096.0,18363.0,Conv2DNS1024
conv2d_6,13385096.0,13408582.0,23486.0,Conv2DNS1024
conv2d_12,13408582.0,13420536.0,11954.0,Conv2DNS1024
batch_normalization_9,13486741.0,13496541.0,9800.0,BatchNormalizationNS8
batch_normalization_7,13474000.0,13481350.0,7350.0,BatchNormalizationNS8
batch_normalization_6,13527471.0,13537271.0,9800.0,BatchNormalizationNS8
batch_normalization_12,13481350.0,13486250.0,4900.0,BatchNormalizationNS8
conv2d_10,13615204.0,13721984.0,106780.0,Conv2DNS1024
conv2d_8,13721984.0,13869555.0,147571.0,Conv2DNS1024
batch_normalization_10,13901072.0,13915772.0,14700.0,BatchNormalizationNS8
batch_normalization_8,13988121.0,13997921.0,9800.0,BatchNormalizationNS8
conv2d_11,14095166.0,14254818.0,159652.0,Conv2DNS1024
batch_normalization_11,14433295.0,14447995.0,14700.0,BatchNormalizationNS8
conv2d_16,14536880.0,14569116.0,32236.0,Conv2DNS1024
conv2d_14,14569116.0,14593182.0,24066.0,Conv2DNS1024
conv2d_13,14593182.0,14624274.0,31092.0,Conv2DNS1024
conv2d_19,14624274.0,14655630.0,31356.0,Conv2DNS1024
batch_normalization_16,14688091.0,14697891.0,9800.0,BatchNormalizationNS8
batch_normalization_14,14697891.0,14705241.0,7350.0,BatchNormalizationNS8
batch_normalization_13,14743312.0,14753112.0,9800.0,BatchNormalizationNS8
batch_normalization_19,14774476.0,14784276.0,9800.0,BatchNormalizationNS8
conv2d_17,14817567.0,14923711.0,106144.0,Conv2DNS1024
conv2d_15,14923711.0,15070834.0,147123.0,Conv2DNS1024
batch_normalization_17,15101981.0,15116681.0,14700.0,BatchNormalizationNS8
batch_normalization_15,15188724.0,15198524.0,9800.0,BatchNormalizationNS8
conv2d_18,15295380.0,15454081.0,158701.0,Conv2DNS1024
batch_normalization_18,15633075.0,15647775.0,14700.0,BatchNormalizationNS8
conv2d_23,15736567.0,15772409.0,35842.0,Conv2DNS1024
conv2d_21,15772409.0,15799631.0,27222.0,Conv2DNS1024
conv2d_20,15799631.0,15835275.0,35644.0,Conv2DNS1024
conv2d_26,15835275.0,15870591.0,35316.0,Conv2DNS1024
batch_normalization_23,15891351.0,15901151.0,9800.0,BatchNormalizationNS8
batch_normalization_21,15901151.0,15908501.0,7350.0,BatchNormalizationNS8
batch_normalization_20,15953581.0,15963381.0,9800.0,BatchNormalizationNS8
batch_normalization_26,15989260.0,15999060.0,9800.0,BatchNormalizationNS8
conv2d_24,16019400.0,16124873.0,105473.0,Conv2DNS1024
conv2d_22,16124873.0,16271500.0,146627.0,Conv2DNS1024
batch_normalization_24,16304219.0,16318919.0,14700.0,BatchNormalizationNS8
batch_normalization_22,16390879.0,16400679.0,9800.0,BatchNormalizationNS8
conv2d_25,16497086.0,16656736.0,159650.0,Conv2DNS1024
batch_normalization_25,16835628.0,16850328.0,14700.0,BatchNormalizationNS8
conv2d_28,16940233.0,16975113.0,34880.0,Conv2DNS1024
conv2d_27,17329847.0,18331002.0,1001155.0,Conv2DNS1024
batch_normalization_28,17093865.0,17103665.0,9800.0,BatchNormalizationNS8
batch_normalization_27,18499979.0,18513851.0,13872.0,BatchNormalizationNS8
conv2d_29,17223691.0,17329847.0,106156.0,Conv2DNS1024
batch_normalization_29,17509032.0,17523732.0,14700.0,BatchNormalizationNS8
conv2d_30,18331002.0,18414134.0,83132.0,Conv2DNS1024
batch_normalization_30,18452827.0,18456295.0,3468.0,BatchNormalizationNS8
conv2d_35,18765756.0,18864700.0,98944.0,Conv2DNS1024
conv2d_32,18864700.0,18963844.0,99144.0,Conv2DNS1024
conv2d_31,19562837.0,19711535.0,148698.0,Conv2DNS1024
conv2d_40,20058179.0,20207329.0,149150.0,Conv2DNS1024
batch_normalization_35,18921442.0,18926066.0,4624.0,BatchNormalizationNS8
batch_normalization_32,19020797.0,19025421.0,4624.0,BatchNormalizationNS8
batch_normalization_31,19795289.0,19802225.0,6936.0,BatchNormalizationNS8
batch_normalization_40,20291838.0,20298774.0,6936.0,BatchNormalizationNS8
conv2d_36,18981729.0,19097755.0,116026.0,Conv2DNS1024
conv2d_33,19097755.0,19213237.0,115482.0,Conv2DNS1024
batch_normalization_36,19154296.0,19158920.0,4624.0,BatchNormalizationNS8
batch_normalization_33,19269255.0,19273879.0,4624.0,BatchNormalizationNS8
conv2d_37,19216058.0,19330880.0,114822.0,Conv2DNS1024
conv2d_34,19711535.0,19884014.0,172479.0,Conv2DNS1024
batch_normalization_37,19387587.0,19392211.0,4624.0,BatchNormalizationNS8
batch_normalization_34,19968729.0,19975665.0,6936.0,BatchNormalizationNS8
conv2d_38,19448561.0,19562837.0,114276.0,Conv2DNS1024
batch_normalization_38,19618628.0,19623252.0,4624.0,BatchNormalizationNS8
conv2d_39,19884014.0,20058179.0,174165.0,Conv2DNS1024
batch_normalization_39,20142582.0,20149518.0,6936.0,BatchNormalizationNS8
conv2d_45,20340899.0,20465370.0,124471.0,Conv2DNS1024
conv2d_42,20465370.0,20589128.0,123758.0,Conv2DNS1024
conv2d_41,21621876.0,21771284.0,149408.0,Conv2DNS1024
conv2d_50,22202355.0,22350451.0,148096.0,Conv2DNS1024
batch_normalization_45,20535782.0,20541562.0,5780.0,BatchNormalizationNS8
batch_normalization_42,20659840.0,20665620.0,5780.0,BatchNormalizationNS8
batch_normalization_41,21855755.0,21862691.0,6936.0,BatchNormalizationNS8
batch_normalization_50,22434243.0,22441179.0,6936.0,BatchNormalizationNS8
conv2d_46,20612313.0,20791319.0,179006.0,Conv2DNS1024
conv2d_43,21442684.0,21621876.0,179192.0,Conv2DNS1024
