taskname,start,end,duration,acclname
conv2d_1,0,723970.0,723970.0,Conv2D1024
batch_normalization_1,723970.0,1665236.0,941266.0,BatchNormalization8
conv2d_2,1665236.0,2653570.0,988334.0,Conv2D1024
batch_normalization_2,2653570.0,3599634.0,946064.0,BatchNormalization8
conv2d_3,3599634.0,5052630.0,1452996.0,Conv2D1024
batch_normalization_3,5052630.0,6734079.0,1681449.0,BatchNormalization8
conv2d_4,6734079.0,7251847.0,517768.0,Conv2D1024
batch_normalization_4,7251847.0,7815317.0,563470.0,BatchNormalization8
conv2d_5,7815317.0,8883965.0,1068648.0,Conv2D1024
batch_normalization_5,8883965.0,10153075.0,1269110.0,BatchNormalization8
conv2d_9,10153075.0,10383511.0,230436.0,Conv2D1024
conv2d_7,10690211.0,10909440.0,219229.0,Conv2D1024
conv2d_6,11144553.0,11379639.0,235086.0,Conv2D1024
conv2d_12,11547732.0,11754634.0,206902.0,Conv2D1024
batch_normalization_9,10383511.0,10501526.0,118015.0,BatchNormalization8
batch_normalization_7,10909440.0,10995968.0,86528.0,BatchNormalization8
batch_normalization_6,11379639.0,11498505.0,118866.0,BatchNormalization8
batch_normalization_12,11754634.0,11821248.0,66614.0,BatchNormalization8
conv2d_10,10501526.0,10690211.0,188685.0,Conv2D1024
conv2d_8,11379639.0,11547732.0,168093.0,Conv2D1024
batch_normalization_10,10690211.0,10851461.0,161250.0,BatchNormalization8
batch_normalization_8,11547732.0,11666111.0,118379.0,BatchNormalization8
conv2d_11,10909440.0,11144553.0,235113.0,Conv2D1024
batch_normalization_11,11144553.0,11309996.0,165443.0,BatchNormalization8
conv2d_16,11821248.0,12117423.0,296175.0,Conv2D1024
conv2d_14,12424846.0,12704979.0,280133.0,Conv2D1024
conv2d_13,13234495.0,13529628.0,295133.0,Conv2D1024
conv2d_19,12940941.0,13234495.0,293554.0,Conv2D1024
batch_normalization_16,12117423.0,12235504.0,118081.0,BatchNormalization8
batch_normalization_14,12704979.0,12793331.0,88352.0,BatchNormalization8
batch_normalization_13,13529628.0,13647357.0,117729.0,BatchNormalization8
batch_normalization_19,13234495.0,13352302.0,117807.0,BatchNormalization8
conv2d_17,12235504.0,12424846.0,189342.0,Conv2D1024
conv2d_15,13529628.0,13696819.0,167191.0,Conv2D1024
batch_normalization_17,12424846.0,12587153.0,162307.0,BatchNormalization8
batch_normalization_15,13696819.0,13813515.0,116696.0,BatchNormalization8
conv2d_18,12704979.0,12940941.0,235962.0,Conv2D1024
batch_normalization_18,12940941.0,13105454.0,164513.0,BatchNormalization8
conv2d_23,13813515.0,14131254.0,317739.0,Conv2D1024
conv2d_21,14437991.0,14745938.0,307947.0,Conv2D1024
conv2d_20,15467256.0,15787453.0,320197.0,Conv2D1024
conv2d_26,15148445.0,15467256.0,318811.0,Conv2D1024
batch_normalization_23,14131254.0,14248908.0,117654.0,BatchNormalization8
batch_normalization_21,14745938.0,14834065.0,88127.0,BatchNormalization8
batch_normalization_20,15787453.0,15903938.0,116485.0,BatchNormalization8
batch_normalization_26,15467256.0,15584239.0,116983.0,BatchNormalization8
conv2d_24,14248908.0,14437991.0,189083.0,Conv2D1024
conv2d_22,14981901.0,15148445.0,166544.0,Conv2D1024
batch_normalization_24,14437991.0,14600462.0,162471.0,BatchNormalization8
batch_normalization_22,15148445.0,15265987.0,117542.0,BatchNormalization8
conv2d_25,14745938.0,14981901.0,235963.0,Conv2D1024
batch_normalization_25,14981901.0,15148126.0,166225.0,BatchNormalization8
conv2d_28,15903938.0,16223132.0,319194.0,Conv2D1024
conv2d_27,16528625.0,17580606.0,1051981.0,Conv2D1024
batch_normalization_28,16223132.0,16340090.0,116958.0,BatchNormalization8
batch_normalization_27,17580606.0,17734865.0,154259.0,BatchNormalization8
conv2d_29,16340090.0,16528625.0,188535.0,Conv2D1024
batch_normalization_29,16528625.0,16693639.0,165014.0,BatchNormalization8
conv2d_30,17580606.0,17746505.0,165899.0,Conv2D1024
batch_normalization_30,17746505.0,17791057.0,44552.0,BatchNormalization8
conv2d_35,17791057.0,18052681.0,261624.0,Conv2D1024
conv2d_32,18257277.0,18519497.0,262220.0,Conv2D1024
conv2d_31,19151650.0,19457035.0,305385.0,Conv2D1024
conv2d_40,19650562.0,19956750.0,306188.0,Conv2D1024
batch_normalization_35,18052681.0,18109575.0,56894.0,BatchNormalization8
batch_normalization_32,18519497.0,18576180.0,56683.0,BatchNormalization8
batch_normalization_31,19457035.0,19538624.0,81589.0,BatchNormalization8
