taskname,start,end,duration,acclname
conv2d_1,0,723970.0,723970.0,Conv2D1024
batch_normalization_1,723970.0,1665236.0,941266.0,BatchNormalization8
conv2d_2,1665236.0,2653570.0,988334.0,Conv2D1024
batch_normalization_2,2653570.0,3599634.0,946064.0,BatchNormalization8
conv2d_3,3599634.0,5052630.0,1452996.0,Conv2D1024
batch_normalization_3,5052630.0,6734079.0,1681449.0,BatchNormalization8
conv2d_4,6734079.0,7251847.0,517768.0,Conv2D1024
batch_normalization_4,7251847.0,7815317.0,563470.0,BatchNormalization8
conv2d_5,7815317.0,8883965.0,1068648.0,Conv2D1024
batch_normalization_5,8883965.0,10153075.0,1269110.0,BatchNormalization8
conv2d_9,10153075.0,10383511.0,230436.0,Conv2D1024
conv2d_7,10383511.0,10602740.0,219229.0,Conv2D1024
conv2d_6,10602740.0,10837826.0,235086.0,Conv2D1024
conv2d_12,10837826.0,11044728.0,206902.0,Conv2D1024
batch_normalization_9,10383511.0,10501526.0,118015.0,BatchNormalization8
batch_normalization_7,10602740.0,10689268.0,86528.0,BatchNormalization8
batch_normalization_6,10837826.0,10956692.0,118866.0,BatchNormalization8
batch_normalization_12,11044728.0,11111342.0,66614.0,BatchNormalization8
conv2d_10,11044728.0,11233413.0,188685.0,Conv2D1024
conv2d_8,11233413.0,11401506.0,168093.0,Conv2D1024
batch_normalization_10,11233413.0,11394663.0,161250.0,BatchNormalization8
batch_normalization_8,11401506.0,11519885.0,118379.0,BatchNormalization8
conv2d_11,11401506.0,11636619.0,235113.0,Conv2D1024
batch_normalization_11,11636619.0,11802062.0,165443.0,BatchNormalization8
conv2d_16,11802062.0,12098237.0,296175.0,Conv2D1024
conv2d_14,12098237.0,12378370.0,280133.0,Conv2D1024
conv2d_13,12378370.0,12673503.0,295133.0,Conv2D1024
conv2d_19,12673503.0,12967057.0,293554.0,Conv2D1024
batch_normalization_16,12098237.0,12216318.0,118081.0,BatchNormalization8
batch_normalization_14,12378370.0,12466722.0,88352.0,BatchNormalization8
batch_normalization_13,12673503.0,12791232.0,117729.0,BatchNormalization8
batch_normalization_19,12967057.0,13084864.0,117807.0,BatchNormalization8
conv2d_17,12967057.0,13156399.0,189342.0,Conv2D1024
conv2d_15,13156399.0,13323590.0,167191.0,Conv2D1024
batch_normalization_17,13156399.0,13318706.0,162307.0,BatchNormalization8
batch_normalization_15,13323590.0,13440286.0,116696.0,BatchNormalization8
conv2d_18,13323590.0,13559552.0,235962.0,Conv2D1024
batch_normalization_18,13559552.0,13724065.0,164513.0,BatchNormalization8
conv2d_23,13724065.0,14041804.0,317739.0,Conv2D1024
conv2d_21,14041804.0,14349751.0,307947.0,Conv2D1024
conv2d_20,14349751.0,14669948.0,320197.0,Conv2D1024
conv2d_26,14669948.0,14988759.0,318811.0,Conv2D1024
batch_normalization_23,14041804.0,14159458.0,117654.0,BatchNormalization8
batch_normalization_21,14349751.0,14437878.0,88127.0,BatchNormalization8
batch_normalization_20,14669948.0,14786433.0,116485.0,BatchNormalization8
batch_normalization_26,14988759.0,15105742.0,116983.0,BatchNormalization8
conv2d_24,14988759.0,15177842.0,189083.0,Conv2D1024
conv2d_22,15177842.0,15344386.0,166544.0,Conv2D1024
batch_normalization_24,15177842.0,15340313.0,162471.0,BatchNormalization8
batch_normalization_22,15344386.0,15461928.0,117542.0,BatchNormalization8
conv2d_25,15344386.0,15580349.0,235963.0,Conv2D1024
batch_normalization_25,15580349.0,15746574.0,166225.0,BatchNormalization8
conv2d_28,15746574.0,16065768.0,319194.0,Conv2D1024
conv2d_27,16371261.0,17423242.0,1051981.0,Conv2D1024
batch_normalization_28,16065768.0,16182726.0,116958.0,BatchNormalization8
batch_normalization_27,17423242.0,17577501.0,154259.0,BatchNormalization8
conv2d_29,16182726.0,16371261.0,188535.0,Conv2D1024
batch_normalization_29,16371261.0,16536275.0,165014.0,BatchNormalization8
conv2d_30,17423242.0,17589141.0,165899.0,Conv2D1024
batch_normalization_30,17589141.0,17633693.0,44552.0,BatchNormalization8
conv2d_35,17633693.0,17895317.0,261624.0,Conv2D1024
conv2d_32,17895317.0,18157537.0,262220.0,Conv2D1024
conv2d_31,18786842.0,19092227.0,305385.0,Conv2D1024
conv2d_40,19492059.0,19798247.0,306188.0,Conv2D1024
batch_normalization_35,17895317.0,17952211.0,56894.0,BatchNormalization8
batch_normalization_32,18157537.0,18214220.0,56683.0,BatchNormalization8
batch_normalization_31,19092227.0,19173816.0,81589.0,BatchNormalization8
