task,BatchNormalization8,Conv2D1024,Dense128
conv2d_1,inf,723970,inf
batch_normalization_1,941266,inf,inf
conv2d_2,inf,988334,inf
batch_normalization_2,946064,inf,inf
conv2d_3,inf,1452996,inf
batch_normalization_3,1681449,inf,inf
conv2d_4,inf,517768,inf
batch_normalization_4,563470,inf,inf
conv2d_5,inf,1068648,inf
batch_normalization_5,1269110,inf,inf
conv2d_9,inf,230436,inf
conv2d_7,inf,219229,inf
conv2d_6,inf,235086,inf
conv2d_12,inf,206902,inf
batch_normalization_9,118015,inf,inf
batch_normalization_7,86528,inf,inf
batch_normalization_6,118866,inf,inf
batch_normalization_12,66614,inf,inf
conv2d_10,inf,188685,inf
conv2d_8,inf,168093,inf
batch_normalization_10,161250,inf,inf
batch_normalization_8,118379,inf,inf
conv2d_11,inf,235113,inf
batch_normalization_11,165443,inf,inf
conv2d_16,inf,296175,inf
conv2d_14,inf,280133,inf
conv2d_13,inf,295133,inf
conv2d_19,inf,293554,inf
batch_normalization_16,118081,inf,inf
batch_normalization_14,88352,inf,inf
batch_normalization_13,117729,inf,inf
batch_normalization_19,117807,inf,inf
conv2d_17,inf,189342,inf
conv2d_15,inf,167191,inf
batch_normalization_17,162307,inf,inf
batch_normalization_15,116696,inf,inf
conv2d_18,inf,235962,inf
batch_normalization_18,164513,inf,inf
conv2d_23,inf,317739,inf
conv2d_21,inf,307947,inf
conv2d_20,inf,320197,inf
conv2d_26,inf,318811,inf
batch_normalization_23,117654,inf,inf
batch_normalization_21,88127,inf,inf
batch_normalization_20,116485,inf,inf
batch_normalization_26,116983,inf,inf
conv2d_24,inf,189083,inf
conv2d_22,inf,166544,inf
batch_normalization_24,162471,inf,inf
batch_normalization_22,117542,inf,inf
conv2d_25,inf,235963,inf
batch_normalization_25,166225,inf,inf
conv2d_28,inf,319194,inf
conv2d_27,inf,1051981,inf
batch_normalization_28,116958,inf,inf
batch_normalization_27,154259,inf,inf
conv2d_29,inf,188535,inf
batch_normalization_29,165014,inf,inf
conv2d_30,inf,165899,inf
batch_normalization_30,44552,inf,inf
conv2d_35,inf,261624,inf
conv2d_32,inf,262220,inf
conv2d_31,inf,305385,inf
conv2d_40,inf,306188,inf
batch_normalization_35,56894,inf,inf
batch_normalization_32,56683,inf,inf
batch_normalization_31,81589,inf,inf
batch_normalization_40,80208,inf,inf
conv2d_36,inf,147702,inf
conv2d_33,inf,138863,inf
batch_normalization_36,55837,inf,inf
batch_normalization_33,56603,inf,inf
conv2d_37,inf,139955,inf
conv2d_34,inf,206305,inf
batch_normalization_37,55755,inf,inf
batch_normalization_34,81701,inf,inf
conv2d_38,inf,147030,inf
batch_normalization_38,57065,inf,inf
conv2d_39,inf,193527,inf
batch_normalization_39,80659,inf,inf
conv2d_45,inf,284079,inf
conv2d_42,inf,282645,inf
conv2d_41,inf,305717,inf
conv2d_50,inf,304435,inf
batch_normalization_45,68089,inf,inf
batch_normalization_42,68814,inf,inf
batch_normalization_41,81696,inf,inf
batch_normalization_50,81175,inf,inf
conv2d_46,inf,211488,inf
conv2d_43,inf,199639,inf
batch_normalization_46,68984,inf,inf
batch_normalization_43,69213,inf,inf
conv2d_47,inf,200026,inf
conv2d_44,inf,244102,inf
batch_normalization_47,68619,inf,inf
batch_normalization_44,80681,inf,inf
conv2d_48,inf,211516,inf
batch_normalization_48,68939,inf,inf
conv2d_49,inf,230900,inf
batch_normalization_49,81674,inf,inf
conv2d_55,inf,283951,inf
conv2d_52,inf,282138,inf
conv2d_51,inf,304967,inf
conv2d_60,inf,305283,inf
batch_normalization_55,69557,inf,inf
batch_normalization_52,68323,inf,inf
batch_normalization_51,79929,inf,inf
batch_normalization_60,81759,inf,inf
conv2d_56,inf,212537,inf
conv2d_53,inf,200122,inf
batch_normalization_56,68190,inf,inf
batch_normalization_53,68336,inf,inf
conv2d_57,inf,198831,inf
conv2d_54,inf,245013,inf
batch_normalization_57,69964,inf,inf
batch_normalization_54,81828,inf,inf
conv2d_58,inf,211000,inf
batch_normalization_58,68291,inf,inf
conv2d_59,inf,230997,inf
batch_normalization_59,81098,inf,inf
conv2d_65,inf,306642,inf
conv2d_62,inf,306342,inf
conv2d_61,inf,306101,inf
conv2d_70,inf,304704,inf
batch_normalization_65,81313,inf,inf
batch_normalization_62,80566,inf,inf
batch_normalization_61,80950,inf,inf
batch_normalization_70,81682,inf,inf
conv2d_66,inf,284860,inf
conv2d_63,inf,271080,inf
batch_normalization_66,81415,inf,inf
batch_normalization_63,81984,inf,inf
conv2d_67,inf,270267,inf
conv2d_64,inf,286004,inf
batch_normalization_67,81203,inf,inf
batch_normalization_64,81084,inf,inf
conv2d_68,inf,285163,inf
batch_normalization_68,80947,inf,inf
conv2d_69,inf,271617,inf
batch_normalization_69,80787,inf,inf
conv2d_73,inf,304496,inf
