task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
batch_normalization_1,941266,942933,941514,943123,942924,943063,942952,942989,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_2,946064,947860,947909,947861,947851,947861,947861,947861,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_3,1681449,1685805,1684662,1685805,1685804,1685805,1685805,1685805,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_4,563470,564554,564789,564554,564546,564554,564554,564554,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_5,1269110,1268980,1268569,1268980,1268980,1268980,1268980,1268980,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_9,118015,117989,118226,118000,117985,118000,117998,118000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_7,86528,88069,87054,88082,88066,88082,88076,88082,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_6,118866,118709,117792,118720,118705,118720,118718,118720,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_12,66614,65810,67717,65825,65808,65825,65814,65823,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_10,161250,161873,161787,161879,161866,161879,161879,161879,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_8,118379,118242,118605,118253,118238,118253,118251,118253,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_11,165443,166012,165519,166018,166005,166018,166018,166018,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_16,118081,117365,118985,117376,117361,117376,117374,117376,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_14,88352,89133,88163,89146,89130,89146,89140,89146,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_13,117729,118227,117537,118238,118223,118238,118236,118238,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_19,117807,118911,117213,118922,118907,118922,118920,118922,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_17,162307,164294,162428,164300,164287,164300,164300,164300,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_15,116696,116836,117561,116847,116832,116847,116845,116847,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_18,164513,163901,163819,163907,163894,163907,163907,163907,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_23,117654,117474,117503,117485,117470,117485,117483,117485,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_21,88127,87867,88873,87880,87864,87880,87874,87880,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_20,116485,116853,118852,116864,116849,116864,116862,116864,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_26,116983,117176,118441,117187,117172,117187,117185,117187,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_24,162471,164327,163918,164333,164320,164333,164333,164333,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_22,117542,118589,118029,118600,118585,118600,118598,118600,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_25,166225,165149,165057,165155,165142,165155,165155,165155,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_28,116958,117257,116808,117268,117253,117268,117266,117268,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_27,154259,154770,153482,154770,154763,154770,154770,154770,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
