Task,InitTransferTime
conv1,9179
res2a_branch2a,4259
res2a_branch1,12618
res2a_branch2b,34071
res2a_branch2c,13456
res2b_branch2a,19818
res2b_branch2b,31713
res2b_branch2c,14418
res2c_branch2a,17645
res2c_branch2b,34158
res2c_branch2c,13976
res3a_branch2a,32057
res3a_branch1,98766
res3a_branch2b,115323
res3a_branch2c,49948
res3b_branch2a,56030
res3b_branch2b,115315
res3b_branch2c,48774
res3c_branch2a,54984
res3c_branch2b,117474
res3c_branch2c,48740
res3d_branch2a,55212
res3d_branch2b,116444
res3d_branch2c,48566
res4a_branch2a,99232
res4a_branch1,375798
res4a_branch2b,420292
res4a_branch2c,186952
res4b_branch2a,190736
res4b_branch2b,420710
res4b_branch2c,186132
res4c_branch2a,193604
res4c_branch2b,421016
res4c_branch2c,186376
res4d_branch2a,192506
res4d_branch2b,422000
res4d_branch2c,186542
res4e_branch2a,193274
res4e_branch2b,421580
res4e_branch2c,186230
res4f_branch2a,193212
res4f_branch2b,423096
res4f_branch2c,186542
res5a_branch2a,375440
res5a_branch1,1482070
res5a_branch2b,1662624
res5a_branch2c,738378
res5b_branch2a,744314
res5b_branch2b,1661746
res5b_branch2c,738478
res5c_branch2a,746312
res5c_branch2b,1666484
res5c_branch2c,739248
fc1000,1286
