task,BatchNormalizationNS32,BatchNormalizationNS64,BatchNormalizationNS256,BatchNormalizationNS8,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS512,BatchNormalizationNS128,Conv2DNS512,Conv2DNS1024,Conv2DNS256,Conv2DNS64,Conv2DNS128,DenseNS64,DenseNS8,DenseNS32,DenseNS512,DenseNS1024,DenseNS256,DenseNS128,DenseNS16
conv1,inf,inf,inf,inf,inf,inf,inf,inf,230496,115248,460992,1843968,921984,inf,inf,inf,inf,inf,inf,inf,inf
bn_conv1,25088,12544,3136,100352,784,50176,1568,6272,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,24200,12100,48400,193600,96800,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch1,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2a,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch1,24200,12100,3025,96800,757,48400,1513,6050,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,217800,108900,435600,1742400,871200,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2b,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2c,24200,12100,3025,96800,757,48400,1513,6050,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2a,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,217800,108900,435600,1742400,871200,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2b,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2c,24200,12100,3025,96800,757,48400,1513,6050,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2a,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,217800,108900,435600,1742400,871200,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2b,6050,3025,757,24200,190,12100,379,1513,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,96800,48400,193600,774400,387200,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2c,24200,12100,3025,96800,757,48400,1513,6050,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,50176,25088,100352,401408,200704,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch1,inf,inf,inf,inf,inf,inf,inf,inf,200704,100352,401408,1605632,802816,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2a,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch1,12544,6272,1568,50176,392,25088,784,3136,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,225792,112896,451584,1806336,903168,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2b,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2c,12544,6272,1568,50176,392,25088,784,3136,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2a,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,225792,112896,451584,1806336,903168,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2b,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2c,12544,6272,1568,50176,392,25088,784,3136,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2a,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,225792,112896,451584,1806336,903168,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2b,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2c,12544,6272,1568,50176,392,25088,784,3136,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3d_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,100352,50176,200704,802816,401408,inf,inf,inf,inf,inf,inf,inf,inf
bn3d_branch2a,3136,1568,392,12544,98,6272,196,784,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3d_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,225792,112896,451584,1806336,903168,inf,inf,inf,inf,inf,inf,inf,inf
