task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
conv1,inf,inf,inf,inf,inf,inf,inf,inf,741201,1861108,939014,742410,741416,inf,inf,inf,inf,inf,inf,inf,inf
bn_conv1,950959,952425,952664,952560,952411,952560,952453,952509,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,261770,262782,260965,261034,262399,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch1,inf,inf,inf,inf,inf,inf,inf,inf,715844,799858,718681,716838,714618,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2a,259916,259672,259833,259680,259665,259680,259680,259680,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch1,1033654,1031798,1033590,1031798,1031798,1031798,1031798,1031798,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,292696,1780004,908906,474205,293948,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2b,259290,259286,258674,259294,259279,259294,259294,259294,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2a_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,711759,799714,716607,713297,712842,inf,inf,inf,inf,inf,inf,inf,inf
bn2a_branch2c,1031221,1030111,1031648,1030111,1030111,1030111,1030111,1030111,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,697616,799222,705587,700487,698027,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2a,260663,260785,261421,260793,260778,260793,260793,260793,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,289974,1778301,907181,471881,292354,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2b,261409,260090,260440,260098,260083,260098,260098,260098,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2b_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,717182,801253,720510,718255,718346,inf,inf,inf,inf,inf,inf,inf,inf
bn2b_branch2c,1031147,1030322,1030459,1030322,1030322,1030322,1030322,1030322,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,699833,795780,702829,697333,696376,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2a,260149,260469,260686,260477,260462,260477,260477,260477,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,289684,1779503,908630,474542,295557,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2b,260489,260860,259774,260868,260853,260868,260868,260868,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res2c_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,715705,800333,719874,716290,716528,inf,inf,inf,inf,inf,inf,inf,inf
bn2c_branch2c,1031044,1029779,1030154,1029779,1029779,1029779,1029779,1029779,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,369565,437127,374057,368568,368458,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch1,inf,inf,inf,inf,inf,inf,inf,inf,600190,1716252,913464,606456,600564,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2a,141155,141745,141251,141753,141738,141753,141753,141753,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch1,509159,509880,509459,509880,509880,509880,509880,509880,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,256639,1924641,1023089,571106,345368,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2b,141345,141422,141626,141430,141415,141430,141430,141430,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3a_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,415723,863527,463646,420263,417768,inf,inf,inf,inf,inf,inf,inf,inf
bn3a_branch2c,512441,513121,513311,513121,513121,513121,513121,513121,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,397968,861133,461085,401856,399138,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2a,140455,140855,138667,140863,140848,140863,140863,140863,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,257695,1924724,1022193,570077,344567,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2b,142150,141908,140874,141916,141901,141916,141916,141916,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3b_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,404557,862623,460936,410156,405687,inf,inf,inf,inf,inf,inf,inf,inf
bn3b_branch2c,510674,510523,511274,510523,510523,510523,510523,510523,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,395612,860189,459410,400149,397064,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2a,141009,140942,141673,140950,140935,140950,140950,140950,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,259685,1927233,1022929,571772,346751,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2b,142092,141800,141700,141808,141793,141808,141808,141808,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3c_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,414568,861914,460474,414962,414274,inf,inf,inf,inf,inf,inf,inf,inf
bn3c_branch2c,509624,510504,510079,510504,510504,510504,510504,510504,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3d_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,397204,861275,459772,399667,395858,inf,inf,inf,inf,inf,inf,inf,inf
bn3d_branch2a,140291,139897,140079,139905,139890,139905,139905,139905,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3d_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,258200,1927609,1022900,572063,345708,inf,inf,inf,inf,inf,inf,inf,inf
bn3d_branch2b,140271,140413,140818,140421,140406,140421,140421,140421,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res3d_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,404059,862937,461444,407787,404315,inf,inf,inf,inf,inf,inf,inf,inf
bn3d_branch2c,508444,507010,507839,507010,507010,507010,507010,507010,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4a_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,263671,504335,302896,268324,264263,inf,inf,inf,inf,inf,inf,inf,inf
res4a_branch1,inf,inf,inf,inf,inf,inf,inf,inf,617089,1993001,1191170,788978,624475,inf,inf,inf,inf,inf,inf,inf,inf
bn4a_branch2a,70091,70060,69290,70068,70053,70068,70068,70068,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
bn4a_branch1,270894,270726,271693,270726,270726,270726,270726,270726,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4a_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,536715,2229801,1326183,875069,648993,inf,inf,inf,inf,inf,inf,inf,inf
bn4a_branch2b,67852,68608,68316,68616,68601,68616,68616,68616,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4a_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,369879,1000790,600227,399322,374037,inf,inf,inf,inf,inf,inf,inf,inf
bn4a_branch2c,271290,271826,271454,271826,271826,271826,271826,271826,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4b_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,357873,997962,595372,395832,361588,inf,inf,inf,inf,inf,inf,inf,inf
bn4b_branch2a,69149,68832,69574,68840,68825,68840,68840,68840,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4b_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,536658,2230114,1326741,875402,649410,inf,inf,inf,inf,inf,inf,inf,inf
bn4b_branch2b,69298,68436,68307,68444,68429,68444,68444,68444,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4b_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,364602,999484,598900,397241,368760,inf,inf,inf,inf,inf,inf,inf,inf
bn4b_branch2c,270836,271317,271466,271317,271317,271317,271317,271317,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4c_branch2a,inf,inf,inf,inf,inf,inf,inf,inf,361157,999354,598125,396760,365744,inf,inf,inf,inf,inf,inf,inf,inf
bn4c_branch2a,68797,68082,67923,68090,68075,68090,68090,68090,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4c_branch2b,inf,inf,inf,inf,inf,inf,inf,inf,536423,2229912,1327875,875385,649717,inf,inf,inf,inf,inf,inf,inf,inf
bn4c_branch2b,70508,71176,70717,71184,71169,71184,71184,71184,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
res4c_branch2c,inf,inf,inf,inf,inf,inf,inf,inf,369226,1000931,599482,398915,372077,inf,inf,inf,inf,inf,inf,inf,inf
bn4c_branch2c,272472,271938,271930,271938,271938,271938,271938,271938,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
