Task,conv2d_1,batch_normalization_1,conv2d_2,batch_normalization_2,conv2d_3,batch_normalization_3,conv2d_4,batch_normalization_4,conv2d_6,batch_normalization_6,conv2d_7,batch_normalization_7,conv2d_8,batch_normalization_8,conv2d_9,batch_normalization_9,conv2d_10
conv2d_1,0,19746214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_1,0,0,12378253,0,0,0,0,0,0,0,0,0,0,0,9863283,0,0
conv2d_2,0,0,0,9869592,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_2,0,0,0,0,6213682,0,0,0,0,0,0,0,4932099,0,0,0,0
conv2d_3,0,0,0,0,0,4936046,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_3,0,0,0,0,0,0,3133608,0,0,0,2468884,0,0,0,0,0,0
conv2d_4,0,0,0,0,0,0,0,1235093,0,0,0,0,0,0,0,0,0
batch_normalization_4,0,0,0,0,0,0,0,0,796542,0,0,0,0,0,0,0,0
conv2d_6,0,0,0,0,0,0,0,0,0,617321,0,0,0,0,0,0,0
batch_normalization_6,0,0,0,0,0,0,0,0,0,0,2299473,0,0,0,0,0,0
conv2d_7,0,0,0,0,0,0,0,0,0,0,0,1235803,0,0,0,0,0
batch_normalization_7,0,0,0,0,0,0,0,0,0,0,0,0,4459634,0,0,0,0
conv2d_8,0,0,0,0,0,0,0,0,0,0,0,0,0,2466696,0,0,0
batch_normalization_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8774062,0,0
conv2d_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4935558,0
batch_normalization_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4981915
conv2d_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
