Task,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions
block1_conv1,0,4901352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,3046930,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,2464809,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,1536564,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,1253912,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,1254983,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,779048,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,649481,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,649981,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,401576,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,174751,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,175452,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,74487315,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12151646,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969234
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
