task,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
block1_conv1,2543275,2547257,2549877,2545290,2543262,-1,-1,-1,-1,-1,-1,-1
block1_conv2,4157957,28970187,14518697,7292609,4174177,-1,-1,-1,-1,-1,-1,-1
block2_conv1,1732278,14529699,7303579,3692618,1888867,-1,-1,-1,-1,-1,-1,-1
block2_conv2,2136408,29046241,14594953,7369173,3756567,-1,-1,-1,-1,-1,-1,-1
block3_conv1,1142418,14688134,7462935,3850481,2043974,-1,-1,-1,-1,-1,-1,-1
block3_conv2,2262635,29357913,14906880,7681428,4069333,-1,-1,-1,-1,-1,-1,-1
block3_conv3,2270394,29365114,14914815,7688536,4076235,-1,-1,-1,-1,-1,-1,-1
block4_conv1,1780649,15328237,8104252,4490823,2684545,-1,-1,-1,-1,-1,-1,-1
block4_conv2,3548954,30644936,16194261,8968319,5355643,-1,-1,-1,-1,-1,-1,-1
block4_conv3,3552711,30647826,16198552,8971175,5358503,-1,-1,-1,-1,-1,-1,-1
block5_conv1,2175202,8949473,5337857,3530681,2627515,-1,-1,-1,-1,-1,-1,-1
block5_conv2,2178837,8952705,5340772,3535086,2631916,-1,-1,-1,-1,-1,-1,-1
block5_conv3,2179048,8952810,5340034,3534636,2631545,-1,-1,-1,-1,-1,-1,-1
fc1,-1,-1,-1,-1,-1,142465057,74225646,81479103,73258438,101641610,75257897,72203048
fc2,-1,-1,-1,-1,-1,22711605,11525178,12983436,10851126,16396954,12101862,9882289
predictions,-1,-1,-1,-1,-1,5612227,2849554,3203115,2791974,4036818,2965273,2970083
