Task,conv2d_1,batch_normalization_1,conv2d_2,batch_normalization_2,conv2d_3,batch_normalization_3,conv2d_4,batch_normalization_4,conv2d_6,batch_normalization_6,conv2d_7,batch_normalization_7,conv2d_8,batch_normalization_8,conv2d_9,batch_normalization_9,conv2d_10
conv2d_1,0,19757524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_1,0,0,12374918,0,0,0,0,0,0,0,0,0,0,0,9861983,0,0
conv2d_2,0,0,0,9866779,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_2,0,0,0,0,6216269,0,0,0,0,0,0,0,4934561,0,0,0,0
conv2d_3,0,0,0,0,0,4933011,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_3,0,0,0,0,0,0,3131873,0,0,0,2466688,0,0,0,0,0,0
conv2d_4,0,0,0,0,0,0,0,1236578,0,0,0,0,0,0,0,0,0
batch_normalization_4,0,0,0,0,0,0,0,0,795381,0,0,0,0,0,0,0,0
conv2d_6,0,0,0,0,0,0,0,0,0,616679,0,0,0,0,0,0,0
batch_normalization_6,0,0,0,0,0,0,0,0,0,0,2298737,0,0,0,0,0,0
conv2d_7,0,0,0,0,0,0,0,0,0,0,0,1235401,0,0,0,0,0
batch_normalization_7,0,0,0,0,0,0,0,0,0,0,0,0,4459736,0,0,0,0
conv2d_8,0,0,0,0,0,0,0,0,0,0,0,0,0,2470908,0,0,0
batch_normalization_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8769936,0,0
conv2d_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937843,0
batch_normalization_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982801
conv2d_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
