task,BatchNormalizationNS8,BatchNormalizationNS256,BatchNormalizationNS64,BatchNormalizationNS32,BatchNormalizationNS512,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS128,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256
conv2d_1,-1,-1,-1,-1,-1,-1,-1,-1,345600,2764800,5529600,691200,1382400
batch_normalization_1,1638400,51200,204800,409600,25600,12800,819200,102400,-1,-1,-1,-1,-1
conv2d_2,-1,-1,-1,-1,-1,-1,-1,-1,3686400,29491200,58982400,7372800,14745600
batch_normalization_2,819200,25600,102400,204800,12800,6400,409600,51200,-1,-1,-1,-1,-1
conv2d_3,-1,-1,-1,-1,-1,-1,-1,-1,3686400,29491200,58982400,7372800,14745600
batch_normalization_3,409600,12800,51200,102400,6400,3200,204800,25600,-1,-1,-1,-1,-1
conv2d_4,-1,-1,-1,-1,-1,-1,-1,-1,1843200,14745600,29491200,3686400,7372800
batch_normalization_4,102400,3200,12800,25600,1600,800,51200,6400,-1,-1,-1,-1,-1
conv2d_6,-1,-1,-1,-1,-1,-1,-1,-1,921600,7372800,14745600,1843200,3686400
batch_normalization_6,51200,1600,6400,12800,800,400,25600,3200,-1,-1,-1,-1,-1
conv2d_7,-1,-1,-1,-1,-1,-1,-1,-1,5529600,44236800,88473600,11059200,22118400
batch_normalization_7,102400,3200,12800,25600,1600,800,51200,6400,-1,-1,-1,-1,-1
conv2d_8,-1,-1,-1,-1,-1,-1,-1,-1,5529600,44236800,88473600,11059200,22118400
batch_normalization_8,204800,6400,25600,51200,3200,1600,102400,12800,-1,-1,-1,-1,-1
conv2d_9,-1,-1,-1,-1,-1,-1,-1,-1,5529600,44236800,88473600,11059200,22118400
batch_normalization_9,409600,12800,51200,102400,6400,3200,204800,25600,-1,-1,-1,-1,-1
conv2d_10,-1,-1,-1,-1,-1,-1,-1,-1,1440000,11520000,23040000,2880000,5760000
