acc,BatchNormalization256,BatchNormalization8,BatchNormalization1024,BatchNormalization64,BatchNormalization32,BatchNormalization512,BatchNormalization128,BatchNormalization16,Conv2D256,Conv2D128,Conv2D64,Conv2D1024,Conv2D512,Dense64,Dense128,Dense256,Dense1024,Dense512,Dense16,Dense8,Dense32
BatchNormalization256,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization1024,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization64,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization32,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization512,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization128,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Conv2D256,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Conv2D128,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Conv2D64,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Conv2D1024,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
Conv2D512,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Dense64,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Dense128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Dense256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Dense1024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Dense512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Dense16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Dense8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Dense32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
