block1_conv1, Conv2D, 2, 2527331, 2527329
block1_conv2, Conv2D, 2527332, 7168339, 4641007
block2_conv1, Conv2D, 7168340, 9048696, 1880356
block2_conv2, Conv2D, 9048697, 12796979, 3748282
block3_conv1, Conv2D, 12796980, 17090069, 4293089
block3_conv2, Conv2D, 17090070, 25551597, 8461527
block3_conv3, Conv2D, 25551598, 34200150, 8648552
block4_conv1, Conv2D, 34200151, 38575101, 4374950
block4_conv2, Conv2D, 38575102, 46451614, 7876512
block4_conv3, Conv2D, 46451615, 54307767, 7856152
block5_conv1, Conv2D, 54307768, 56615218, 2307450
block5_conv2, Conv2D, 56615219, 59186866, 2571647
block5_conv3, Conv2D, 59186867, 61484698, 2297831
fc1, Dense, 61484699, 146206191, 84721492
fc2, Dense, 146206192, 158693164, 12486972
predictions, Dense, 158693165, 161719723, 3026558
Start, Control, 0, 1, 1
End, Control, 161719724, 161719725, 1
