Task,Start,conv2d_1,batch_normalization_1,conv2d_2,batch_normalization_2,conv2d_3,batch_normalization_3,conv2d_4,batch_normalization_4,conv2d_6,batch_normalization_6,conv2d_7,batch_normalization_7,conv2d_8,batch_normalization_8,conv2d_9,batch_normalization_9,conv2d_10,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conv2d_1,0,0,66949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_1,0,0,0,70231,0,0,0,0,0,0,0,0,0,0,0,53712,0,0,0
conv2d_2,0,0,0,0,63405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_2,0,0,0,0,0,70421,0,0,0,0,0,0,0,53612,0,0,0,0,0
conv2d_3,0,0,0,0,0,0,74744,0,0,0,0,0,0,0,0,0,0,0,0
batch_normalization_3,0,0,0,0,0,0,0,73722,0,0,0,53432,0,0,0,0,0,0,0
conv2d_4,0,0,0,0,0,0,0,0,55271,0,0,0,0,0,0,0,0,0,0
batch_normalization_4,0,0,0,0,0,0,0,0,0,39015,0,0,0,0,0,0,0,0,0
conv2d_6,0,0,0,0,0,0,0,0,0,0,50974,0,0,0,0,0,0,0,0
batch_normalization_6,0,0,0,0,0,0,0,0,0,0,0,48271,0,0,0,0,0,0,0
conv2d_7,0,0,0,0,0,0,0,0,0,0,0,0,57441,0,0,0,0,0,0
batch_normalization_7,0,0,0,0,0,0,0,0,0,0,0,0,0,45917,0,0,0,0,0
conv2d_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55392,0,0,0,0
batch_normalization_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38166,0,0,0
conv2d_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30345,0,0
batch_normalization_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43966,0
conv2d_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
