Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,23064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19586,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19074,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37488,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38204,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23023,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,23844,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,24494,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,39607,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,38763,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37183,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34315,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12807,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12781,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
