Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,29064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,24339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,19975,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19183,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37593,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38150,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,23362,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,36057,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31357,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,35608,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,31747,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,33176,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34191,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12808,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12734,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
