block1_conv1, Conv2D, 3295, 4051, 756
block1_conv2, Conv2D, 2562395, 2567003, 4608
block2_conv1, Conv2D, 7226002, 7235218, 9216
block2_conv2, Conv2D, 9152467, 9157075, 4608
block3_conv1, Conv2D, 12803382, 12807990, 4608
block3_conv2, Conv2D, 17097386, 17101994, 4608
block3_conv3, Conv2D, 25556546, 25561154, 4608
block4_conv1, Conv2D, 34197763, 34198267, 504
block4_conv2, Conv2D, 38569942, 38570446, 504
block4_conv3, Conv2D, 46434861, 46435365, 504
block5_conv1, Conv2D, 54313272, 54320328, 7056
block5_conv2, Conv2D, 56622299, 56629355, 7056
block5_conv3, Conv2D, 59189317, 59196373, 7056
fc1, Dense, 61481891, 61481892, 1
fc2, Dense, 136467589, 136467590, 1
predictions, Dense, 148564296, 148564297, 1
