Task,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions
block1_conv1,0,29177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,23084,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,19587,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,19350,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,37872,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,38209,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,23903,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,24557,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,24485,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,39630,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,39552,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,37388,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,21691,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
