conv2d_1, Conv2D, 6267, 6699, 432
batch_normalization_1, BatchNormalization, 694341, 694379, 38
conv2d_2, Conv2D, 1642725, 1644048, 1323
batch_normalization_2, BatchNormalization, 2636022, 2636059, 37
conv2d_3, Conv2D, 3598607, 3601253, 2646
batch_normalization_3, BatchNormalization, 5032160, 5032234, 74
conv2d_4, Conv2D, 6715783, 6716148, 365
batch_normalization_4, BatchNormalization, 7232486, 7232532, 46
conv2d_5, Conv2D, 7892936, 7895096, 2160
batch_normalization_5, BatchNormalization, 8980688, 8980795, 107
conv2d_9, Conv2D, 10243146, 10243566, 420
conv2d_7, Conv2D, 10471600, 10471915, 315
conv2d_6, Conv2D, 10692868, 10693288, 420
conv2d_12, Conv2D, 10916311, 10916521, 210
batch_normalization_9, BatchNormalization, 11115904, 11115922, 18
batch_normalization_7, BatchNormalization, 11231443, 11231457, 14
batch_normalization_6, BatchNormalization, 11318325, 11318343, 18
batch_normalization_12, BatchNormalization, 11432974, 11432983, 9
conv2d_10, Conv2D, 11538903, 11540793, 1890
conv2d_8, Conv2D, 11742766, 11743966, 1200
batch_normalization_10, BatchNormalization, 11882603, 11882630, 27
batch_normalization_8, BatchNormalization, 12041274, 12041292, 18
conv2d_11, Conv2D, 12220377, 12223212, 2835
batch_normalization_11, BatchNormalization, 12371695, 12371722, 27
conv2d_16, Conv2D, 12544646, 12545206, 560
conv2d_14, Conv2D, 12837697, 12838117, 420
conv2d_13, Conv2D, 13119543, 13120103, 560
conv2d_19, Conv2D, 13400155, 13400715, 560
batch_normalization_16, BatchNormalization, 13681247, 13681265, 18
batch_normalization_14, BatchNormalization, 13796093, 13796107, 14
batch_normalization_13, BatchNormalization, 13882785, 13882803, 18
batch_normalization_19, BatchNormalization, 13998016, 13998034, 18
conv2d_17, Conv2D, 14153509, 14155399, 1890
conv2d_15, Conv2D, 14359190, 14360390, 1200
batch_normalization_17, BatchNormalization, 14492384, 14492411, 27
batch_normalization_15, BatchNormalization, 14652647, 14652665, 18
conv2d_18, Conv2D, 14828974, 14830270, 1296
batch_normalization_18, BatchNormalization, 15017845, 15017872, 27
conv2d_23, Conv2D, 15194598, 15195228, 630
conv2d_21, Conv2D, 15506032, 15506505, 473
conv2d_20, Conv2D, 15812494, 15813124, 630
conv2d_26, Conv2D, 16128891, 16129521, 630
batch_normalization_23, BatchNormalization, 16429453, 16429471, 18
batch_normalization_21, BatchNormalization, 16544681, 16544695, 14
batch_normalization_20, BatchNormalization, 16629878, 16629896, 18
batch_normalization_26, BatchNormalization, 16745096, 16745114, 18
conv2d_24, Conv2D, 16902497, 16904387, 1890
conv2d_22, Conv2D, 17093116, 17094316, 1200
batch_normalization_24, BatchNormalization, 17223710, 17223737, 27
batch_normalization_22, BatchNormalization, 17384610, 17384628, 18
conv2d_25, Conv2D, 17560568, 17561864, 1296
batch_normalization_25, BatchNormalization, 17750736, 17750763, 27
conv2d_28, Conv2D, 17928309, 17928939, 630
conv2d_27, Conv2D, 18229456, 18229619, 163
batch_normalization_28, BatchNormalization, 20641182, 20641200, 18
batch_normalization_27, BatchNormalization, 20761057, 20761108, 51
conv2d_29, Conv2D, 20947048, 20948776, 1728
batch_normalization_29, BatchNormalization, 21107755, 21107782, 27
conv2d_30, Conv2D, 21334863, 21336240, 1377
batch_normalization_30, BatchNormalization, 21434915, 21434928, 13
conv2d_35, Conv2D, 21485569, 21486725, 1156
conv2d_32, Conv2D, 21751611, 21752767, 1156
conv2d_31, Conv2D, 21987510, 21987565, 55
conv2d_40, Conv2D, 22481711, 22481766, 55
batch_normalization_35, BatchNormalization, 23017994, 23018011, 17
batch_normalization_32, BatchNormalization, 23074173, 23074190, 17
batch_normalization_31, BatchNormalization, 23128814, 23128840, 26
batch_normalization_40, BatchNormalization, 23206781, 23206807, 26
conv2d_36, Conv2D, 23284264, 23284517, 253
conv2d_33, Conv2D, 23464506, 23464759, 253
batch_normalization_36, BatchNormalization, 23644021, 23644038, 17
batch_normalization_33, BatchNormalization, 23698398, 23698415, 17
conv2d_37, Conv2D, 23763028, 23767074, 4046
conv2d_34, Conv2D, 23919861, 23920114, 253
batch_normalization_37, BatchNormalization, 24126860, 24126877, 17
batch_normalization_34, BatchNormalization, 24181310, 24181336, 26
conv2d_38, Conv2D, 24258720, 24258973, 253
batch_normalization_38, BatchNormalization, 24438538, 24438555, 17
conv2d_39, Conv2D, 24530113, 24530366, 253
batch_normalization_39, BatchNormalization, 24738165, 24738191, 26
conv2d_45, Conv2D, 24819062, 24819785, 723
conv2d_42, Conv2D, 25112881, 25113604, 723
conv2d_41, Conv2D, 25401321, 25401376, 55
conv2d_50, Conv2D, 25935214, 25935269, 55
batch_normalization_45, BatchNormalization, 26469369, 26469391, 22
batch_normalization_42, BatchNormalization, 26536044, 26536066, 22
batch_normalization_41, BatchNormalization, 26603195, 26603221, 26
batch_normalization_50, BatchNormalization, 26681880, 26681906, 26
conv2d_46, Conv2D, 26759011, 26759328, 317
conv2d_43, Conv2D, 26999865, 27000182, 317
batch_normalization_46, BatchNormalization, 27249983, 27250005, 22
batch_normalization_43, BatchNormalization, 27315971, 27315993, 22
