block1_conv1, Conv2D, 2, 2524845, 2524843
block1_conv2, Conv2D, 2524846, 7161881, 4637035
block2_conv1, Conv2D, 7161882, 9096929, 1935047
block2_conv2, Conv2D, 9096930, 12846945, 3750015
block3_conv1, Conv2D, 12846946, 17144104, 4297158
block3_conv2, Conv2D, 17144105, 25604335, 8460230
block3_conv3, Conv2D, 25604336, 34255167, 8650831
block4_conv1, Conv2D, 34255168, 38762175, 4507007
block4_conv2, Conv2D, 38762176, 47063387, 8301211
block4_conv3, Conv2D, 47063388, 55193802, 8130414
block5_conv1, Conv2D, 55193803, 57499415, 2305612
block5_conv2, Conv2D, 57499416, 60068133, 2568717
block5_conv3, Conv2D, 60068134, 62367299, 2299165
fc1, Dense, 62367300, 147096288, 84728988
fc2, Dense, 147096289, 159582051, 12485762
predictions, Dense, 159582052, 162609491, 3027439
Start, Control, 0, 1, 1
End, Control, 162609492, 162609493, 1
