Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,16193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15525,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19101,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,38239,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39033,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34391,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30573,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31078,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,34939,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,38797,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,36827,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45863,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35639,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14074,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
