block1_conv1, Conv2D, 2735, 3113, 378
block1_conv2, Conv2D, 2559882, 2562186, 2304
block2_conv1, Conv2D, 7063851, 7066155, 2304
block2_conv2, Conv2D, 8934288, 8936592, 2304
block3_conv1, Conv2D, 11317707, 11320011, 2304
block3_conv2, Conv2D, 15611677, 15613981, 2304
block3_conv3, Conv2D, 24070296, 24072600, 2304
block4_conv1, Conv2D, 32718321, 32720337, 2016
block4_conv2, Conv2D, 37221896, 37223912, 2016
block4_conv3, Conv2D, 45522076, 45524092, 2016
block5_conv1, Conv2D, 53653554, 53657082, 3528
block5_conv2, Conv2D, 55957385, 55960913, 3528
block5_conv3, Conv2D, 58525064, 58528592, 3528
fc1, Dense, 60813958, 60813959, 1
fc2, Dense, 145585874, 145585875, 1
predictions, Dense, 158063586, 158063587, 1
