Task,InitTransferTime
conv2d_1,949
conv2d_2,7244
conv2d_3,13663
conv2d_4,3769
conv2d_5,100457
conv2d_9,9165
conv2d_7,6806
conv2d_6,9793
conv2d_12,4610
conv2d_10,39717
conv2d_8,55000
conv2d_11,60346
conv2d_16,12204
conv2d_14,9144
conv2d_13,12568
conv2d_19,12474
conv2d_17,39349
conv2d_15,55583
conv2d_18,60357
conv2d_23,13914
conv2d_21,9662
conv2d_20,13582
conv2d_26,12770
conv2d_24,40067
conv2d_22,55315
conv2d_25,59026
conv2d_28,13548
conv2d_27,721004
conv2d_29,38991
conv2d_30,58919
conv2d_35,70883
conv2d_32,70940
conv2d_31,106340
conv2d_40,106581
conv2d_36,82894
conv2d_33,82038
conv2d_37,82876
conv2d_34,123978
conv2d_38,82740
conv2d_39,124267
conv2d_45,88401
conv2d_42,88658
conv2d_41,106064
conv2d_50,106454
conv2d_46,129370
conv2d_43,128884
conv2d_47,129145
conv2d_44,154430
conv2d_48,129731
conv2d_49,156621
conv2d_55,89483
conv2d_52,89342
conv2d_51,105606
conv2d_60,107060
conv2d_56,129166
conv2d_53,127826
conv2d_57,128070
conv2d_54,154148
conv2d_58,127590
conv2d_59,152802
conv2d_65,105808
conv2d_62,104820
conv2d_61,105802
conv2d_70,105760
conv2d_66,183634
conv2d_63,183632
conv2d_67,184494
conv2d_64,183736
conv2d_68,184562
conv2d_69,184152
conv2d_73,105690
conv2d_71,105014
conv2d_74,183908
conv2d_72,394208
conv2d_75,183704
conv2d_76,236934
conv2d_81,409004
conv2d_78,350672
conv2d_77,292498
conv2d_85,176018
conv2d_82,1104182
conv2d_79,315678
conv2d_80,315494
conv2d_83,316560
conv2d_84,315876
conv2d_90,655024
conv2d_87,560946
conv2d_86,467674
conv2d_94,280884
conv2d_91,1103536
conv2d_88,315258
conv2d_89,315758
conv2d_92,315518
conv2d_93,315810
predictions,1713
