Task,InitTransferTime
conv2d_1,1655
conv2d_2,7200
conv2d_3,13491
conv2d_4,3914
conv2d_5,100113
conv2d_9,9225
conv2d_7,6832
conv2d_6,9006
conv2d_12,5323
conv2d_10,40400
conv2d_8,55865
conv2d_11,59845
conv2d_16,12186
conv2d_14,9788
conv2d_13,11794
conv2d_19,11514
conv2d_17,40671
conv2d_15,54848
conv2d_18,60003
conv2d_23,13334
conv2d_21,9664
conv2d_20,13198
conv2d_26,13533
conv2d_24,39505
conv2d_22,55475
conv2d_25,60226
conv2d_28,13557
conv2d_27,721412
conv2d_29,39572
conv2d_30,59818
conv2d_35,71451
conv2d_32,70210
conv2d_31,107288
conv2d_40,106384
conv2d_36,82083
conv2d_33,82616
conv2d_37,82124
conv2d_34,123510
conv2d_38,83267
conv2d_39,124285
conv2d_45,88140
conv2d_42,88539
conv2d_41,106684
conv2d_50,106700
conv2d_46,129305
conv2d_43,128444
conv2d_47,130444
conv2d_44,155922
conv2d_48,130067
conv2d_49,156763
conv2d_51,107638
conv2d_55,88010
conv2d_52,87720
conv2d_60,106162
conv2d_56,130589
conv2d_53,129684
conv2d_57,129029
conv2d_54,156142
conv2d_58,130342
conv2d_59,155257
conv2d_65,106433
conv2d_62,105836
conv2d_61,106154
conv2d_70,107207
conv2d_66,186139
conv2d_63,184502
conv2d_67,183376
conv2d_64,184410
conv2d_68,184322
conv2d_69,184468
conv2d_73,105562
conv2d_71,105944
conv2d_74,184370
conv2d_72,395196
conv2d_75,184376
conv2d_76,237148
conv2d_81,408884
conv2d_78,351126
conv2d_77,291874
conv2d_85,175222
conv2d_82,1104190
conv2d_79,315550
conv2d_80,315266
conv2d_83,315954
conv2d_84,315380
conv2d_90,655596
conv2d_87,561148
conv2d_86,468034
conv2d_94,280766
conv2d_91,1103718
conv2d_88,315848
conv2d_89,315748
conv2d_92,316062
conv2d_93,315622
predictions,1741
