Task,InitTransferTime
conv2d_1,949
conv2d_2,6518
conv2d_3,13565
conv2d_4,4525
conv2d_5,101255
conv2d_9,9168
conv2d_7,6810
conv2d_6,9030
conv2d_12,4628
conv2d_10,39801
conv2d_8,55954
conv2d_11,60281
conv2d_16,12052
conv2d_14,9252
conv2d_13,12570
conv2d_19,11554
conv2d_17,39465
conv2d_15,55830
conv2d_18,60331
conv2d_23,13919
conv2d_21,10432
conv2d_20,13656
conv2d_26,13474
conv2d_24,40692
conv2d_22,55470
conv2d_25,59561
conv2d_28,13562
conv2d_27,719914
conv2d_29,39209
conv2d_30,59885
conv2d_35,70940
conv2d_32,70986
conv2d_31,107869
conv2d_40,106626
conv2d_36,82322
conv2d_33,83158
conv2d_37,83331
conv2d_34,124104
conv2d_38,83431
conv2d_39,123636
conv2d_45,88660
conv2d_42,87720
conv2d_41,106785
conv2d_50,105943
conv2d_46,129835
conv2d_43,128714
conv2d_47,130123
conv2d_44,155766
conv2d_48,128689
conv2d_49,155191
conv2d_55,89263
conv2d_52,89144
conv2d_51,105993
conv2d_60,106529
conv2d_56,129855
conv2d_53,129890
conv2d_57,129381
conv2d_54,156852
conv2d_58,127838
conv2d_59,153888
conv2d_65,105046
conv2d_62,105616
conv2d_61,106112
conv2d_70,105814
conv2d_66,184968
conv2d_63,184214
conv2d_67,184138
conv2d_64,184450
conv2d_68,184388
conv2d_69,184108
conv2d_73,105838
conv2d_71,105948
conv2d_74,184350
conv2d_72,394722
conv2d_75,183698
conv2d_76,236822
conv2d_81,408830
conv2d_78,350510
conv2d_77,292952
conv2d_85,175386
conv2d_82,1104010
conv2d_79,315562
conv2d_80,316030
conv2d_83,315694
conv2d_84,315736
conv2d_90,654980
conv2d_87,560952
conv2d_86,467512
conv2d_94,280654
conv2d_91,1104526
conv2d_88,315252
conv2d_89,316064
conv2d_92,316116
conv2d_93,315834
predictions,1713
