Task,InitTransferTime
conv1,6794
res2a_branch2a,3902
res2a_branch1,11824
res2a_branch2b,27367
res2a_branch2c,12283
res2b_branch2a,12096
res2b_branch2b,26303
res2b_branch2c,12479
res2c_branch2a,12750
res2c_branch2b,26403
res2c_branch2c,11781
res3a_branch2a,24337
res3a_branch1,93536
res3a_branch2b,112089
res3a_branch2c,46713
res3b_branch2a,46095
res3b_branch2b,111466
res3b_branch2c,46364
res3c_branch2a,46206
res3c_branch2b,111546
res3c_branch2c,46664
res3d_branch2a,45930
res3d_branch2b,112292
res3d_branch2c,46208
res4a_branch2a,92224
res4a_branch1,368852
res4a_branch2b,413992
res4a_branch2c,184744
res4b_branch2a,184502
res4b_branch2b,415300
res4b_branch2c,184782
res4c_branch2a,183624
res4c_branch2b,414112
res4c_branch2c,184880
res4d_branch2a,184618
res4d_branch2b,415004
res4d_branch2c,184250
res4e_branch2a,184646
res4e_branch2b,414552
res4e_branch2c,184692
res4f_branch2a,184450
res4f_branch2b,415160
res4f_branch2c,184398
res5a_branch2a,368788
res5a_branch1,1474042
res5a_branch2b,1658558
res5a_branch2c,737866
res5b_branch2a,738046
res5b_branch2b,1657728
res5b_branch2c,737756
res5c_branch2a,736318
res5c_branch2b,1658378
res5c_branch2c,736786
fc1000,2125
