Task,InitTransferTime
conv1,6792
res2a_branch2a,3154
res2a_branch1,11078
res2a_branch2b,27319
res2a_branch2c,12199
res2b_branch2a,12087
res2b_branch2b,25777
res2b_branch2c,12456
res2c_branch2a,12265
res2c_branch2b,26985
res2c_branch2c,12037
res3a_branch2a,23093
res3a_branch1,93826
res3a_branch2b,112639
res3a_branch2c,45829
res3b_branch2a,46679
res3b_branch2b,111732
res3b_branch2c,46807
res3c_branch2a,46270
res3c_branch2b,111314
res3c_branch2c,46532
res3d_branch2a,45870
res3d_branch2b,111660
res3d_branch2c,46092
res4a_branch2a,92284
res4a_branch1,368220
res4a_branch2b,415002
res4a_branch2c,184556
res4b_branch2a,184592
res4b_branch2b,414774
res4b_branch2c,184960
res4c_branch2a,184476
res4c_branch2b,415060
res4c_branch2c,184522
res4d_branch2a,184602
res4d_branch2b,415176
res4d_branch2c,184354
res4e_branch2a,185102
res4e_branch2b,414374
res4e_branch2c,183614
res4f_branch2a,184816
res4f_branch2b,414692
res4f_branch2c,184666
res5a_branch2a,368674
res5a_branch1,1474778
res5a_branch2b,1658002
res5a_branch2c,737274
res5b_branch2a,737434
res5b_branch2b,1657690
res5b_branch2c,737168
res5c_branch2a,737680
res5c_branch2b,1657450
res5c_branch2c,737326
fc1000,1505
