Task,InitTransferTime
conv1,6800
res2a_branch2a,3154
res2a_branch1,11815
res2a_branch2b,26449
res2a_branch2c,12267
res2b_branch2a,12147
res2b_branch2b,25711
res2b_branch2c,12433
res2c_branch2a,12725
res2c_branch2b,27023
res2c_branch2c,11933
res3a_branch2a,23765
res3a_branch1,93734
res3a_branch2b,112937
res3a_branch2c,46711
res3b_branch2a,46763
res3b_branch2b,111914
res3b_branch2c,46755
res3c_branch2a,46236
res3c_branch2b,111600
res3c_branch2c,46524
res3d_branch2a,45669
res3d_branch2b,111786
res3d_branch2c,46184
res4a_branch2a,92304
res4a_branch1,368124
res4a_branch2b,415002
res4a_branch2c,184694
res4b_branch2a,184812
res4b_branch2b,414684
res4b_branch2c,184104
res4c_branch2a,184318
res4c_branch2b,414996
res4c_branch2c,184632
res4d_branch2a,184530
res4d_branch2b,414964
res4d_branch2c,184388
res4e_branch2a,184592
res4e_branch2b,414878
res4e_branch2c,184490
res4f_branch2a,183999
res4f_branch2b,415246
res4f_branch2c,184868
res5a_branch2a,368935
res5a_branch1,1474160
res5a_branch2b,1658461
res5a_branch2c,737046
res5b_branch2a,736834
res5b_branch2b,1658486
res5b_branch2c,736468
res5c_branch2a,736548
res5c_branch2b,1658018
res5c_branch2c,737970
fc1000,1493
