task,BatchNormalizationNS8,BatchNormalizationNS256,BatchNormalizationNS64,BatchNormalizationNS32,BatchNormalizationNS512,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS128,Conv2DNS1024,Conv2DNS128,Conv2DNS64,Conv2DNS512,Conv2DNS256,DenseNS512,DenseNS128,DenseNS1024,DenseNS256,DenseNS64,DenseNS16,DenseNS8,DenseNS32
conv1,-1,-1,-1,-1,-1,-1,-1,-1,115248,921984,1843968,230496,460992,-1,-1,-1,-1,-1,-1,-1,-1
bn_conv1,100352,3136,12544,25088,1568,784,50176,6272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2a_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,12100,96800,193600,24200,48400,-1,-1,-1,-1,-1,-1,-1,-1
res2a_branch1,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2a_branch2a,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bn2a_branch1,96800,3025,12100,24200,1513,757,48400,6050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2a_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,108900,871200,1742400,217800,435600,-1,-1,-1,-1,-1,-1,-1,-1
bn2a_branch2b,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2a_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2a_branch2c,96800,3025,12100,24200,1513,757,48400,6050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2b_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2b_branch2a,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2b_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,108900,871200,1742400,217800,435600,-1,-1,-1,-1,-1,-1,-1,-1
bn2b_branch2b,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2b_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2b_branch2c,96800,3025,12100,24200,1513,757,48400,6050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2c_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2c_branch2a,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2c_branch2b,-1,-1,-1,-1,-1,-1,-1,-1,108900,871200,1742400,217800,435600,-1,-1,-1,-1,-1,-1,-1,-1
bn2c_branch2b,24200,757,3025,6050,379,190,12100,1513,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res2c_branch2c,-1,-1,-1,-1,-1,-1,-1,-1,48400,387200,774400,96800,193600,-1,-1,-1,-1,-1,-1,-1,-1
bn2c_branch2c,96800,3025,12100,24200,1513,757,48400,6050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
res3a_branch2a,-1,-1,-1,-1,-1,-1,-1,-1,25088,200704,401408,50176,100352,-1,-1,-1,-1,-1,-1,-1,-1
res3a_branch1,-1,-1,-1,-1,-1,-1,-1,-1,100352,802816,1605632,200704,401408,-1,-1,-1,-1,-1,-1,-1,-1
