acc,BatchNormalization128,BatchNormalization32,BatchNormalization1024,BatchNormalization256,BatchNormalization512,BatchNormalization16,BatchNormalization64,BatchNormalization8,Conv2D512,Conv2D128,Conv2D256,Conv2D64,Conv2D1024
BatchNormalization128,0,1,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization32,1,0,1,1,1,1,1,1,1,1,1,1,1
BatchNormalization1024,1,1,0,1,1,1,1,1,1,1,1,1,1
BatchNormalization256,1,1,1,0,1,1,1,1,1,1,1,1,1
BatchNormalization512,1,1,1,1,0,1,1,1,1,1,1,1,1
BatchNormalization16,1,1,1,1,1,0,1,1,1,1,1,1,1
BatchNormalization64,1,1,1,1,1,1,0,1,1,1,1,1,1
BatchNormalization8,1,1,1,1,1,1,1,0,1,1,1,1,1
Conv2D512,1,1,1,1,1,1,1,1,0,1,1,1,1
Conv2D128,1,1,1,1,1,1,1,1,1,0,1,1,1
Conv2D256,1,1,1,1,1,1,1,1,1,1,0,1,1
Conv2D64,1,1,1,1,1,1,1,1,1,1,1,0,1
Conv2D1024,1,1,1,1,1,1,1,1,1,1,1,1,0
