conv2d_1, Conv2D, 2, 689148, 689146
batch_normalization_1, BatchNormalization, 689149, 1626660, 937511
conv2d_2, Conv2D, 1626661, 2633796, 1007135
batch_normalization_2, BatchNormalization, 2633797, 3580112, 946315
conv2d_3, Conv2D, 3580113, 5028410, 1448297
batch_normalization_3, BatchNormalization, 5028411, 6712783, 1684372
conv2d_4, Conv2D, 6712784, 7232615, 519831
batch_normalization_4, BatchNormalization, 7232616, 7790950, 558334
conv2d_5, Conv2D, 7790951, 9268484, 1477533
batch_normalization_5, BatchNormalization, 9268485, 10527439, 1258954
conv2d_9, Conv2D, 10527440, 10757014, 229574
conv2d_7, Conv2D, 10757015, 10975496, 218481
conv2d_6, Conv2D, 10975497, 11204147, 228650
conv2d_12, Conv2D, 11204148, 11408435, 204287
batch_normalization_9, BatchNormalization, 11408436, 11524074, 115638
batch_normalization_7, BatchNormalization, 11524075, 11609928, 85853
batch_normalization_6, BatchNormalization, 11609929, 11725186, 115257
batch_normalization_12, BatchNormalization, 11725187, 11789504, 64317
conv2d_10, Conv2D, 11789505, 11980054, 190549
conv2d_8, Conv2D, 11980055, 12227358, 247303
batch_normalization_10, BatchNormalization, 12227359, 12387664, 160305
batch_normalization_8, BatchNormalization, 12387665, 12503033, 115368
conv2d_11, Conv2D, 12503034, 12770828, 267794
batch_normalization_11, BatchNormalization, 12770829, 12932090, 161261
conv2d_16, Conv2D, 12932091, 13225546, 293455
conv2d_14, Conv2D, 13225547, 13503174, 277627
conv2d_13, Conv2D, 13503175, 13785701, 282526
conv2d_19, Conv2D, 13785702, 14081770, 296068
batch_normalization_16, BatchNormalization, 14081771, 14197181, 115410
batch_normalization_14, BatchNormalization, 14197182, 14283951, 86769
batch_normalization_13, BatchNormalization, 14283952, 14400153, 116201
batch_normalization_19, BatchNormalization, 14400154, 14515960, 115806
conv2d_17, Conv2D, 14515961, 14709839, 193878
conv2d_15, Conv2D, 14709840, 14956424, 246584
batch_normalization_17, BatchNormalization, 14956425, 15118144, 161719
batch_normalization_15, BatchNormalization, 15118145, 15233766, 115621
conv2d_18, Conv2D, 15233767, 15508254, 274487
batch_normalization_18, BatchNormalization, 15508255, 15667959, 159704
conv2d_23, Conv2D, 15667960, 15985990, 318030
conv2d_21, Conv2D, 15985991, 16289344, 303353
conv2d_20, Conv2D, 16289345, 16604935, 315590
conv2d_26, Conv2D, 16604936, 16920618, 315682
batch_normalization_23, BatchNormalization, 16920619, 17036424, 115805
batch_normalization_21, BatchNormalization, 17036425, 17121401, 84976
batch_normalization_20, BatchNormalization, 17121402, 17235836, 114434
batch_normalization_26, BatchNormalization, 17235837, 17351029, 115192
conv2d_24, Conv2D, 17351030, 17534968, 183938
conv2d_22, Conv2D, 17534969, 17779828, 244859
batch_normalization_24, BatchNormalization, 17779829, 17942373, 162544
batch_normalization_22, BatchNormalization, 17942374, 18058165, 115791
conv2d_25, Conv2D, 18058166, 18335466, 277300
batch_normalization_25, BatchNormalization, 18335467, 18496191, 160724
conv2d_28, Conv2D, 18496192, 18814176, 317984
conv2d_27, Conv2D, 18814177, 21221592, 2407415
batch_normalization_28, BatchNormalization, 21221593, 21337112, 115519
batch_normalization_27, BatchNormalization, 21337113, 21486469, 149356
conv2d_29, Conv2D, 21486470, 21692479, 206009
batch_normalization_29, BatchNormalization, 21692480, 21853455, 160975
conv2d_30, Conv2D, 21853456, 22017969, 164513
batch_normalization_30, BatchNormalization, 22017970, 22059811, 41841
conv2d_35, Conv2D, 22059812, 22326684, 266872
conv2d_32, Conv2D, 22326685, 22572399, 245714
conv2d_31, Conv2D, 22572400, 23064156, 491756
conv2d_40, Conv2D, 23064157, 23600088, 535931
batch_normalization_35, BatchNormalization, 23600089, 23653988, 53899
batch_normalization_32, BatchNormalization, 23653989, 23708907, 54918
batch_normalization_31, BatchNormalization, 23708908, 23787376, 78468
batch_normalization_40, BatchNormalization, 23787377, 23866181, 78804
conv2d_36, Conv2D, 23866182, 24047699, 181517
conv2d_33, Conv2D, 24047700, 24227621, 179921
batch_normalization_36, BatchNormalization, 24227622, 24281100, 53478
batch_normalization_33, BatchNormalization, 24281101, 24334958, 53857
conv2d_37, Conv2D, 24334959, 24470519, 135560
conv2d_34, Conv2D, 24470520, 24714162, 243642
batch_normalization_37, BatchNormalization, 24714163, 24768181, 54018
batch_normalization_34, BatchNormalization, 24768182, 24846698, 78516
conv2d_38, Conv2D, 24846699, 25024824, 178125
batch_normalization_38, BatchNormalization, 25024825, 25079227, 54402
conv2d_39, Conv2D, 25079228, 25322167, 242939
batch_normalization_39, BatchNormalization, 25322168, 25400590, 78422
conv2d_45, Conv2D, 25400591, 25693985, 293394
conv2d_42, Conv2D, 25693986, 25988034, 294048
conv2d_41, Conv2D, 25988035, 26523374, 535339
conv2d_50, Conv2D, 26523375, 27056489, 533114
batch_normalization_45, BatchNormalization, 27056490, 27123851, 67361
batch_normalization_42, BatchNormalization, 27123852, 27190550, 66698
batch_normalization_41, BatchNormalization, 27190551, 27269840, 79289
batch_normalization_50, BatchNormalization, 27269841, 27348631, 78790
conv2d_46, Conv2D, 27348632, 27588891, 240259
conv2d_43, Conv2D, 27588892, 27837925, 249033
batch_normalization_46, BatchNormalization, 27837926, 27903903, 65977
batch_normalization_43, BatchNormalization, 27903904, 27969665, 65761
conv2d_47, Conv2D, 27969666, 28191489, 221823
conv2d_44, Conv2D, 28191490, 28481627, 290137
batch_normalization_47, BatchNormalization, 28481628, 28547119, 65491
batch_normalization_44, BatchNormalization, 28547120, 28625612, 78492
conv2d_48, Conv2D, 28625613, 28836237, 210624
batch_normalization_48, BatchNormalization, 28836238, 28901548, 65310
conv2d_49, Conv2D, 28901549, 29187759, 286210
batch_normalization_49, BatchNormalization, 29187760, 29266555, 78795
conv2d_55, Conv2D, 29266556, 29542277, 275721
conv2d_52, Conv2D, 29542278, 29831280, 289002
conv2d_51, Conv2D, 29831281, 30363146, 531865
conv2d_60, Conv2D, 30363147, 30894949, 531802
batch_normalization_55, BatchNormalization, 30894950, 30961166, 66216
batch_normalization_52, BatchNormalization, 30961167, 31029375, 68208
batch_normalization_51, BatchNormalization, 31029376, 31107229, 77853
batch_normalization_60, BatchNormalization, 31107230, 31185733, 78503
conv2d_56, Conv2D, 31185734, 31427773, 242039
conv2d_53, Conv2D, 31427774, 31667592, 239818
batch_normalization_56, BatchNormalization, 31667593, 31734006, 66413
batch_normalization_53, BatchNormalization, 31734007, 31800145, 66138
conv2d_57, Conv2D, 31800146, 32011117, 210971
conv2d_54, Conv2D, 32011118, 32299139, 288021
batch_normalization_57, BatchNormalization, 32299140, 32365092, 65952
batch_normalization_54, BatchNormalization, 32365093, 32443764, 78671
conv2d_58, Conv2D, 32443765, 32664623, 220858
batch_normalization_58, BatchNormalization, 32664624, 32732239, 67615
conv2d_59, Conv2D, 32732240, 33018792, 286552
batch_normalization_59, BatchNormalization, 33018793, 33096388, 77595
conv2d_65, Conv2D, 33096389, 33622363, 525974
conv2d_62, Conv2D, 33622364, 34149215, 526851
conv2d_61, Conv2D, 34149216, 34676825, 527609
conv2d_70, Conv2D, 34676826, 35202937, 526111
batch_normalization_65, BatchNormalization, 35202938, 35280985, 78047
batch_normalization_62, BatchNormalization, 35280986, 35359507, 78521
batch_normalization_61, BatchNormalization, 35359508, 35437359, 77851
batch_normalization_70, BatchNormalization, 35437360, 35514973, 77613
conv2d_66, Conv2D, 35514974, 35849830, 334856
conv2d_63, Conv2D, 35849831, 36184775, 334944
batch_normalization_66, BatchNormalization, 36184776, 36262589, 77813
batch_normalization_63, BatchNormalization, 36262590, 36341140, 78550
conv2d_67, Conv2D, 36341141, 36676582, 335441
conv2d_64, Conv2D, 36676583, 37076049, 399466
batch_normalization_67, BatchNormalization, 37076050, 37153770, 77720
batch_normalization_64, BatchNormalization, 37153771, 37232808, 79037
conv2d_68, Conv2D, 37232809, 37599409, 366600
batch_normalization_68, BatchNormalization, 37599410, 37677061, 77651
conv2d_69, Conv2D, 37677062, 38012239, 335177
batch_normalization_69, BatchNormalization, 38012240, 38089742, 77502
conv2d_73, Conv2D, 38089743, 38578738, 488995
conv2d_71, Conv2D, 38578739, 39067531, 488792
batch_normalization_73, BatchNormalization, 39067532, 39146020, 78488
batch_normalization_71, BatchNormalization, 39146021, 39223865, 77844
conv2d_74, Conv2D, 39223866, 39569071, 345205
conv2d_72, Conv2D, 39569072, 40005111, 436039
batch_normalization_74, BatchNormalization, 40005112, 40082938, 77826
batch_normalization_72, BatchNormalization, 40082939, 40110239, 27300
conv2d_75, Conv2D, 40110240, 40445556, 335316
batch_normalization_75, BatchNormalization, 40445557, 40523677, 78120
conv2d_76, Conv2D, 40523678, 40791680, 268002
batch_normalization_76, BatchNormalization, 40791681, 40809666, 17985
