Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,16287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15314,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19384,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,37573,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38997,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34512,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30721,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31298,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,35772,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39373,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37172,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45592,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35565,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14158,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
