Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,15326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15510,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19183,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,36938,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,38196,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34356,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30443,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31356,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,34888,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,40013,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,37141,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45603,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35551,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14113,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
