Task,Start,block1_conv1,block1_conv2,block2_conv1,block2_conv2,block3_conv1,block3_conv2,block3_conv3,block4_conv1,block4_conv2,block4_conv3,block5_conv1,block5_conv2,block5_conv3,fc1,fc2,predictions,End
Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv1,0,0,28875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block1_conv2,0,0,0,16215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv1,0,0,0,0,15503,0,0,0,0,0,0,0,0,0,0,0,0,0
block2_conv2,0,0,0,0,0,19116,0,0,0,0,0,0,0,0,0,0,0,0
block3_conv1,0,0,0,0,0,0,38239,0,0,0,0,0,0,0,0,0,0,0
block3_conv2,0,0,0,0,0,0,0,39036,0,0,0,0,0,0,0,0,0,0
block3_conv3,0,0,0,0,0,0,0,0,34498,0,0,0,0,0,0,0,0,0
block4_conv1,0,0,0,0,0,0,0,0,0,30573,0,0,0,0,0,0,0,0
block4_conv2,0,0,0,0,0,0,0,0,0,0,31696,0,0,0,0,0,0,0
block4_conv3,0,0,0,0,0,0,0,0,0,0,0,34693,0,0,0,0,0,0
block5_conv1,0,0,0,0,0,0,0,0,0,0,0,0,39424,0,0,0,0,0
block5_conv2,0,0,0,0,0,0,0,0,0,0,0,0,0,36970,0,0,0,0
block5_conv3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45149,0,0,0
fc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35639,0,0
fc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13950,0
predictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
